tau,r,phi,t,E
2.899999999999746e+00,2.241217847682441e+00,1.155703070908286e+00,5.244046268786787e+00,-3.898092168143751e-02
2.919999999999744e+00,2.242625787383647e+00,1.162865520210863e+00,5.278600715028290e+00,-3.897483129788303e-02
2.939999999999741e+00,2.244032010057566e+00,1.170018987349928e+00,5.313137718475384e+00,-3.896884151108070e-02
2.959999999999739e+00,2.245436542112189e+00,1.177163500056929e+00,5.347657339613284e+00,-3.896295132395330e-02
2.979999999999737e+00,2.246839409768807e+00,1.184299085792785e+00,5.382159638326898e+00,-3.895715975429417e-02
2.999999999999735e+00,2.248240639063861e+00,1.191425771750826e+00,5.416644673907747e+00,-3.895146583451641e-02
3.019999999999733e+00,2.249640255850756e+00,1.198543584859701e+00,5.451112505060823e+00,-3.894586861140722e-02
3.039999999999730e+00,2.251038285801656e+00,1.205652551786238e+00,5.485563189911320e+00,-3.894036714588658e-02
3.059999999999728e+00,2.252434754409248e+00,1.212752698938279e+00,5.519996786011306e+00,-3.893496051277056e-02
3.079999999999726e+00,2.253829686988490e+00,1.219844052467474e+00,5.554413350346289e+00,-3.892964780053922e-02
3.099999999999724e+00,2.255223108678324e+00,1.226926638272040e+00,5.588812939341675e+00,-3.892442811110840e-02
3.119999999999722e+00,2.256615044443381e+00,1.234000481999491e+00,5.623195608869176e+00,-3.891930055960623e-02
3.139999999999719e+00,2.258005519075646e+00,1.241065609049325e+00,5.657561414253125e+00,-3.891426427415356e-02
3.159999999999717e+00,2.259394557196117e+00,1.248122044575690e+00,5.691910410276664e+00,-3.890931839564814e-02
3.179999999999715e+00,2.260782183256421e+00,1.255169813490006e+00,5.726242651187906e+00,-3.890446207755351e-02
3.199999999999713e+00,2.262168421540431e+00,1.262208940463561e+00,5.760558190706010e+00,-3.889969448569094e-02
3.219999999999711e+00,2.263553296165844e+00,1.269239449930075e+00,5.794857082027108e+00,-3.889501479803591e-02
3.239999999999708e+00,2.264936831085743e+00,1.276261366088230e+00,5.829139377830253e+00,-3.889042220451765e-02
3.259999999999706e+00,2.266319050090144e+00,1.283274712904174e+00,5.863405130283215e+00,-3.888591590682291e-02
3.279999999999704e+00,2.267699976807514e+00,1.290279514113989e+00,5.897654391048229e+00,-3.888149511820285e-02
3.299999999999702e+00,2.269079634706265e+00,1.297275793226134e+00,5.931887211287663e+00,-3.887715906328364e-02
3.319999999999700e+00,2.270458047096250e+00,1.304263573523855e+00,5.966103641669636e+00,-3.887290697788062e-02
3.339999999999697e+00,2.271835237130204e+00,1.311242878067574e+00,6.000303732373511e+00,-3.886873810881521e-02
3.359999999999695e+00,2.273211227805200e+00,1.318213729697235e+00,6.034487533095374e+00,-3.886465171373606e-02
3.379999999999693e+00,2.274586041964070e+00,1.325176151034639e+00,6.068655093053404e+00,-3.886064706094246e-02
3.399999999999691e+00,2.275959702296795e+00,1.332130164485738e+00,6.102806460993185e+00,-3.885672342921147e-02
3.419999999999689e+00,2.277332231341901e+00,1.339075792242910e+00,6.136941685192965e+00,-3.885288010762793e-02
3.439999999999686e+00,2.278703651487827e+00,1.346013056287202e+00,6.171060813468825e+00,-3.884911639541763e-02
3.459999999999684e+00,2.280073984974267e+00,1.352941978390553e+00,6.205163893179797e+00,-3.884543160178299e-02
3.479999999999682e+00,2.281443253893494e+00,1.359862580117985e+00,6.239250971232909e+00,-3.884182504574262e-02
3.499999999999680e+00,2.282811480191691e+00,1.366774882829769e+00,6.273322094088176e+00,-3.883829605597227e-02
3.519999999999678e+00,2.284178685670230e+00,1.373678907683571e+00,6.307377307763523e+00,-3.883484397065001e-02
3.539999999999675e+00,2.285544891986957e+00,1.380574675636568e+00,6.341416657839641e+00,-3.883146813730311e-02
3.559999999999673e+00,2.286910120657451e+00,1.387462207447542e+00,6.375440189464791e+00,-3.882816791265816e-02
3.579999999999671e+00,2.288274393056276e+00,1.394341523678948e+00,6.409447947359547e+00,-3.882494266249347e-02
3.599999999999669e+00,2.289637730418201e+00,1.401212644698965e+00,6.443439975821471e+00,-3.882179176149424e-02
3.619999999999667e+00,2.291000153839422e+00,1.408075590683509e+00,6.477416318729749e+00,-3.881871459311009e-02
3.639999999999664e+00,2.292361684278746e+00,1.414930381618241e+00,6.511377019549746e+00,-3.881571054941523e-02
3.659999999999662e+00,2.293722342558790e+00,1.421777037300541e+00,6.545322121337525e+00,-3.881277903097077e-02
3.679999999999660e+00,2.295082149367133e+00,1.428615577341460e+00,6.579251666744303e+00,-3.880991944668965e-02
3.699999999999658e+00,2.296441125257476e+00,1.435446021167655e+00,6.613165698020846e+00,-3.880713121370390e-02
3.719999999999656e+00,2.297799290650773e+00,1.442268388023299e+00,6.647064257021828e+00,-3.880441375723383e-02
