tau,r,phi,t,E
1.210000000000001e-01,4.945739678476654e+00,0.000000000000000e+00,1.514568572531176e-01,-1.097112364394789e-03
1.220000000000001e-01,4.945290008134062e+00,0.000000000000000e+00,1.527103096010026e-01,-1.106305025103699e-03
1.230000000000001e-01,4.944840317346501e+00,0.000000000000000e+00,1.539637908388020e-01,-1.115499775796586e-03
1.240000000000001e-01,4.944390606110251e+00,0.000000000000000e+00,1.552173009744169e-01,-1.124696617233828e-03
1.250000000000001e-01,4.943940874421592e+00,0.000000000000000e+00,1.564708400157513e-01,-1.133895550176178e-03
1.260000000000001e-01,4.943491122276804e+00,0.000000000000000e+00,1.577244079707131e-01,-1.143096575384778e-03
1.270000000000001e-01,4.943041349672163e+00,0.000000000000000e+00,1.589780048472133e-01,-1.152299693621114e-03
1.280000000000001e-01,4.942591556603947e+00,0.000000000000000e+00,1.602316306531663e-01,-1.161504905647079e-03
1.290000000000001e-01,4.942141743068430e+00,0.000000000000000e+00,1.614852853964900e-01,-1.170712212224978e-03
1.300000000000001e-01,4.941691909061888e+00,0.000000000000000e+00,1.627389690851057e-01,-1.179921614117410e-03
1.310000000000001e-01,4.941242054580592e+00,0.000000000000000e+00,1.639926817269380e-01,-1.189133112087473e-03
1.320000000000001e-01,4.940792179620814e+00,0.000000000000000e+00,1.652464233299150e-01,-1.198346706898529e-03
1.330000000000001e-01,4.940342284178826e+00,0.000000000000000e+00,1.665001939019681e-01,-1.207562399314410e-03
1.340000000000001e-01,4.939892368250897e+00,0.000000000000000e+00,1.677539934510323e-01,-1.216780190099284e-03
1.350000000000001e-01,4.939442431833294e+00,0.000000000000000e+00,1.690078219850458e-01,-1.226000080017733e-03
1.360000000000001e-01,4.938992474922285e+00,0.000000000000000e+00,1.702616795119503e-01,-1.235222069834702e-03
1.370000000000001e-01,4.938542497514136e+00,0.000000000000000e+00,1.715155660396910e-01,-1.244446160315521e-03
1.380000000000001e-01,4.938092499605110e+00,0.000000000000000e+00,1.727694815762164e-01,-1.253672352225899e-03
1.390000000000001e-01,4.937642481191473e+00,0.000000000000000e+00,1.740234261294785e-01,-1.262900646331944e-03
1.400000000000001e-01,4.937192442269485e+00,0.000000000000000e+00,1.752773997074326e-01,-1.272131043400140e-03
1.410000000000001e-01,4.936742382835408e+00,0.000000000000000e+00,1.765314023180375e-01,-1.281363544197361e-03
1.420000000000001e-01,4.936292302885501e+00,0.000000000000000e+00,1.777854339692554e-01,-1.290598149490840e-03
1.430000000000001e-01,4.935842202416024e+00,0.000000000000000e+00,1.790394946690521e-01,-1.299834860048227e-03
1.440000000000001e-01,4.935392081423235e+00,0.000000000000000e+00,1.802935844253966e-01,-1.309073676637559e-03
1.450000000000001e-01,4.934941939903387e+00,0.000000000000000e+00,1.815477032462613e-01,-1.318314600027223e-03
1.460000000000001e-01,4.934491777852738e+00,0.000000000000000e+00,1.828018511396224e-01,-1.327557630986034e-03
1.470000000000001e-01,4.934041595267542e+00,0.000000000000000e+00,1.840560281134590e-01,-1.336802770283141e-03
1.480000000000001e-01,4.933591392144050e+00,0.000000000000000e+00,1.853102341757540e-01,-1.346050018688136e-03
1.490000000000001e-01,4.933141168478514e+00,0.000000000000000e+00,1.865644693344938e-01,-1.355299376970945e-03
1.500000000000001e-01,4.932690924267185e+00,0.000000000000000e+00,1.878187335976680e-01,-1.364550845901938e-03
1.510000000000001e-01,4.932240659506310e+00,0.000000000000000e+00,1.890730269732696e-01,-1.373804426251832e-03
1.520000000000001e-01,4.931790374192140e+00,0.000000000000000e+00,1.903273494692954e-01,-1.383060118791718e-03
1.530000000000001e-01,4.931340068320919e+00,0.000000000000000e+00,1.915817010937453e-01,-1.392317924293132e-03
1.540000000000001e-01,4.930889741888894e+00,0.000000000000000e+00,1.928360818546229e-01,-1.401577843527929e-03
1.550000000000001e-01,4.930439394892309e+00,0.000000000000000e+00,1.940904917599350e-01,-1.410839877268408e-03
1.560000000000001e-01,4.929989027327407e+00,0.000000000000000e+00,1.953449308176920e-01,-1.420104026287200e-03
1.570000000000001e-01,4.929538639190430e+00,0.000000000000000e+00,1.965993990359078e-01,-1.429370291357368e-03
1.580000000000001e-01,4.929088230477618e+00,0.000000000000000e+00,1.978538964225997e-01,-1.438638673252376e-03
1.590000000000001e-01,4.928637801185212e+00,0.000000000000000e+00,1.991084229857884e-01,-1.447909172746023e-03
1.600000000000001e-01,4.928187351309449e+00,0.000000000000000e+00,2.003629787334981e-01,-1.457181790612549e-03
1.610000000000001e-01,4.927736880846566e+00,0.000000000000000e+00,2.016175636737566e-01,-1.466456527626531e-03
1.620000000000001e-01,4.927286389792799e+00,0.000000000000000e+00,2.028721778145949e-01,-1.475733384562999e-03
1.630000000000001e-01,4.926835878144384e+00,0.000000000000000e+00,2.041268211640477e-01,-1.485012362197294e-03
1.640000000000001e-01,4.926385345897553e+00,0.000000000000000e+00,2.053814937301531e-01,-1.494293461305252e-03
1.650000000000001e-01,4.925934793048539e+00,0.000000000000000e+00,2.066361955209525e-01,-1.503576682663002e-03
1.660000000000001e-01,4.925484219593572e+00,0.000000000000000e+00,2.078909265444911e-01,-1.512862027047104e-03
1.670000000000001e-01,4.925033625528883e+00,0.000000000000000e+00,2.091456868088173e-01,-1.522149495234507e-03
1.680000000000001e-01,4.924583010850700e+00,0.000000000000000e+00,2.104004763219832e-01,-1.531439088002545e-03
1.690000000000001e-01,4.924132375555251e+00,0.000000000000000e+00,2.116552950920441e-01,-1.540730806128959e-03
1.700000000000001e-01,4.923681719638762e+00,0.000000000000000e+00,2.129101431270590e-01,-1.550024650391849e-03
1.710000000000001e-01,4.923231043097458e+00,0.000000000000000e+00,2.141650204350903e-01,-1.559320621569771e-03
1.720000000000001e-01,4.922780345927562e+00,0.000000000000000e+00,2.154199270242040e-01,-1.568618720441589e-03
1.730000000000001e-01,4.922329628125297e+00,0.000000000000000e+00,2.166748629024694e-01,-1.577918947786611e-03
1.740000000000001e-01,4.921878889686885e+00,0.000000000000000e+00,2.179298280779594e-01,-1.587221304384531e-03
1.750000000000001e-01,4.921428130608547e+00,0.000000000000000e+00,2.191848225587504e-01,-1.596525791015421e-03
1.760000000000001e-01,4.920977350886500e+00,0.000000000000000e+00,2.204398463529222e-01,-1.605832408459767e-03
1.770000000000001e-01,4.920526550516962e+00,0.000000000000000e+00,2.216948994685583e-01,-1.615141157498445e-03
1.780000000000001e-01,4.920075729496151e+00,0.000000000000000e+00,2.229499819137455e-01,-1.624452038912705e-03
1.790000000000001e-01,4.919624887820281e+00,0.000000000000000e+00,2.242050936965742e-01,-1.633765053484212e-03
1.800000000000001e-01,4.919174025485566e+00,0.000000000000000e+00,2.254602348251381e-01,-1.643080201995009e-03
1.810000000000001e-01,4.918723142488220e+00,0.000000000000000e+00,2.267154053075348e-01,-1.652397485227539e-03
1.820000000000001e-01,4.918272238824454e+00,0.000000000000000e+00,2.279706051518650e-01,-1.661716903964633e-03
1.830000000000001e-01,4.917821314490479e+00,0.000000000000000e+00,2.292258343662332e-01,-1.671038458989554e-03
1.840000000000001e-01,4.917370369482503e+00,0.000000000000000e+00,2.304810929587473e-01,-1.680362151085912e-03
1.850000000000001e-01,4.916919403796736e+00,0.000000000000000e+00,2.317363809375186e-01,-1.689687981037719e-03
1.860000000000001e-01,4.916468417429383e+00,0.000000000000000e+00,2.329916983106620e-01,-1.699015949629401e-03
1.870000000000001e-01,4.916017410376649e+00,0.000000000000000e+00,2.342470450862962e-01,-1.708346057645818e-03
1.880000000000001e-01,4.915566382634741e+00,0.000000000000000e+00,2.355024212725428e-01,-1.717678305872120e-03
1.890000000000001e-01,4.915115334199860e+00,0.000000000000000e+00,2.367578268775275e-01,-1.727012695093941e-03
1.900000000000001e-01,4.914664265068208e+00,0.000000000000000e+00,2.380132619093793e-01,-1.736349226097292e-03
1.910000000000001e-01,4.914213175235988e+00,0.000000000000000e+00,2.392687263762306e-01,-1.745687899668558e-03
1.920000000000001e-01,4.913762064699397e+00,0.000000000000000e+00,2.405242202862176e-01,-1.755028716594539e-03
1.930000000000001e-01,4.913310933454635e+00,0.000000000000000e+00,2.417797436474798e-01,-1.764371677662441e-03
1.940000000000001e-01,4.912859781497897e+00,0.000000000000000e+00,2.430352964681603e-01,-1.773716783659868e-03
1.950000000000001e-01,4.912408608825380e+00,0.000000000000000e+00,2.442908787564057e-01,-1.783064035374787e-03
1.960000000000001e-01,4.911957415433280e+00,0.000000000000000e+00,2.455464905203663e-01,-1.792413433595583e-03
1.970000000000001e-01,4.911506201317788e+00,0.000000000000000e+00,2.468021317681958e-01,-1.801764979111067e-03
1.980000000000001e-01,4.911054966475098e+00,0.000000000000000e+00,2.480578025080513e-01,-1.811118672710402e-03
1.990000000000001e-01,4.910603710901400e+00,0.000000000000000e+00,2.493135027480938e-01,-1.820474515183204e-03
2.000000000000001e-01,4.910152434592884e+00,0.000000000000000e+00,2.505692324964875e-01,-1.829832507319426e-03
2.010000000000002e-01,4.909701137545738e+00,0.000000000000000e+00,2.518249917614003e-01,-1.839192649909477e-03
2.020000000000002e-01,4.909249819756149e+00,0.000000000000000e+00,2.530807805510037e-01,-1.848554943744113e-03
2.030000000000002e-01,4.908798481220304e+00,0.000000000000000e+00,2.543365988734727e-01,-1.857919389614535e-03
2.040000000000002e-01,4.908347121934388e+00,0.000000000000000e+00,2.555924467369858e-01,-1.867285988312331e-03
2.050000000000002e-01,4.907895741894583e+00,0.000000000000000e+00,2.568483241497250e-01,-1.876654740629494e-03
2.060000000000002e-01,4.907444341097072e+00,0.000000000000000e+00,2.581042311198761e-01,-1.886025647358375e-03
2.070000000000002e-01,4.906992919538038e+00,0.000000000000000e+00,2.593601676556282e-01,-1.895398709291785e-03
2.080000000000002e-01,4.906541477213658e+00,0.000000000000000e+00,2.606161337651741e-01,-1.904773927222894e-03
2.090000000000002e-01,4.906090014120112e+00,0.000000000000000e+00,2.618721294567101e-01,-1.914151301945305e-03
2.100000000000002e-01,4.905638530253578e+00,0.000000000000000e+00,2.631281547384361e-01,-1.923530834252993e-03
2.110000000000002e-01,4.905187025610231e+00,0.000000000000000e+00,2.643842096185556e-01,-1.932912524940350e-03
2.120000000000002e-01,4.904735500186247e+00,0.000000000000000e+00,2.656402941052756e-01,-1.942296374802199e-03
2.130000000000002e-01,4.904283953977799e+00,0.000000000000000e+00,2.668964082068066e-01,-1.951682384633682e-03
2.140000000000002e-01,4.903832386981061e+00,0.000000000000000e+00,2.681525519313629e-01,-1.961070555230440e-03
2.150000000000002e-01,4.903380799192202e+00,0.000000000000000e+00,2.694087252871622e-01,-1.970460887388462e-03
2.160000000000002e-01,4.902929190607394e+00,0.000000000000000e+00,2.706649282824258e-01,-1.979853381904151e-03
2.170000000000002e-01,4.902477561222804e+00,0.000000000000000e+00,2.719211609253787e-01,-1.989248039574329e-03
2.180000000000002e-01,4.902025911034602e+00,0.000000000000000e+00,2.731774232242493e-01,-1.998644861196192e-03
2.190000000000002e-01,4.901574240038951e+00,0.000000000000000e+00,2.744337151872696e-01,-2.008043847567365e-03
2.200000000000002e-01,4.901122548232019e+00,0.000000000000000e+00,2.756900368226754e-01,-2.017444999485876e-03
2.210000000000002e-01,4.900670835609968e+00,0.000000000000000e+00,2.769463881387058e-01,-2.026848317750143e-03
2.220000000000002e-01,4.900219102168961e+00,0.000000000000000e+00,2.782027691436038e-01,-2.036253803158999e-03
2.230000000000002e-01,4.899767347905160e+00,0.000000000000000e+00,2.794591798456156e-01,-2.045661456511666e-03
2.240000000000002e-01,4.899315572814726e+00,0.000000000000000e+00,2.807156202529913e-01,-2.055071278607795e-03
2.250000000000002e-01,4.898863776893815e+00,0.000000000000000e+00,2.819720903739846e-01,-2.064483270247441e-03
