tau,r,phi,t,E
3.739999999999699e+00,1.021399131279396e+01,1.077875771380132e-01,4.104732106821165e+00,-1.004132815370400e-02
3.759999999999697e+00,1.021417362693999e+01,1.083626892805324e-01,4.126679871693033e+00,-1.004176806720631e-02
3.779999999999695e+00,1.021435690622435e+01,1.089377808385711e-01,4.148627593936542e+00,-1.004221027413755e-02
3.799999999999693e+00,1.021454115056960e+01,1.095128517045648e-01,4.170575273328332e+00,-1.004265477375313e-02
3.819999999999690e+00,1.021472635989789e+01,1.100879017709751e-01,4.192522909645090e+00,-1.004310156530463e-02
3.839999999999688e+00,1.021491253413097e+01,1.106629309302899e-01,4.214470502663551e+00,-1.004355064803992e-02
3.859999999999686e+00,1.021509967319019e+01,1.112379390750240e-01,4.236418052160492e+00,-1.004400202120305e-02
3.879999999999684e+00,1.021528777699650e+01,1.118129260977184e-01,4.258365557912737e+00,-1.004445568403434e-02
3.899999999999681e+00,1.021547684547044e+01,1.123878918909412e-01,4.280313019697158e+00,-1.004491163577031e-02
3.919999999999679e+00,1.021566687853215e+01,1.129628363472873e-01,4.302260437290667e+00,-1.004536987564380e-02
3.939999999999677e+00,1.021585787610139e+01,1.135377593593786e-01,4.324207810470226e+00,-1.004583040288383e-02
3.959999999999675e+00,1.021604983809750e+01,1.141126608198644e-01,4.346155139012848e+00,-1.004629321671569e-02
3.979999999999673e+00,1.021624276443942e+01,1.146875406214212e-01,4.368102422695583e+00,-1.004675831636090e-02
3.999999999999670e+00,1.021643665504569e+01,1.152623986567529e-01,4.390049661295536e+00,-1.004722570103728e-02
4.019999999999677e+00,1.021663150983445e+01,1.158372348185911e-01,4.411996854589857e+00,-1.004769536995885e-02
4.039999999999684e+00,1.021682732872346e+01,1.164120489996948e-01,4.433944002355739e+00,-1.004816732233594e-02
4.059999999999691e+00,1.021702411163004e+01,1.169868410928514e-01,4.455891104370433e+00,-1.004864155737509e-02
4.079999999999697e+00,1.021722185847114e+01,1.175616109908758e-01,4.477838160411228e+00,-1.004911807427915e-02
4.099999999999704e+00,1.021742056916331e+01,1.181363585866113e-01,4.499785170255463e+00,-1.004959687224720e-02
4.119999999999711e+00,1.021762024362269e+01,1.187110837729293e-01,4.521732133680531e+00,-1.005007795047463e-02
4.139999999999717e+00,1.021782088176501e+01,1.192857864427297e-01,4.543679050463866e+00,-1.005056130815307e-02
4.159999999999724e+00,1.021802248350564e+01,1.198604664889406e-01,4.565625920382955e+00,-1.005104694447047e-02
4.179999999999731e+00,1.021822504875952e+01,1.204351238045192e-01,4.587572743215333e+00,-1.005153485861099e-02
4.199999999999737e+00,1.021842857744117e+01,1.210097582824512e-01,4.609519518738586e+00,-1.005202504975512e-02
4.219999999999744e+00,1.021863306946477e+01,1.215843698157512e-01,4.631466246730345e+00,-1.005251751707963e-02
4.239999999999751e+00,1.021883852474405e+01,1.221589582974630e-01,4.653412926968300e+00,-1.005301225975758e-02
4.259999999999757e+00,1.021904494319237e+01,1.227335236206593e-01,4.675359559230180e+00,-1.005350927695830e-02
4.279999999999764e+00,1.021925232472267e+01,1.233080656784423e-01,4.697306143293771e+00,-1.005400856784741e-02
4.299999999999771e+00,1.021946066924751e+01,1.238825843639436e-01,4.719252678936906e+00,-1.005451013158687e-02
4.319999999999777e+00,1.021966997667905e+01,1.244570795703244e-01,4.741199165937468e+00,-1.005501396733490e-02
4.339999999999784e+00,1.021988024692904e+01,1.250315511907755e-01,4.763145604073396e+00,-1.005552007424602e-02
4.359999999999791e+00,1.022009147990885e+01,1.256059991185174e-01,4.785091993122676e+00,-1.005602845147109e-02
4.379999999999797e+00,1.022030367552943e+01,1.261804232468011e-01,4.807038332863347e+00,-1.005653909815725e-02
4.399999999999804e+00,1.022051683370134e+01,1.267548234689070e-01,4.828984623073498e+00,-1.005705201344795e-02
4.419999999999811e+00,1.022073095433477e+01,1.273291996781460e-01,4.850930863531270e+00,-1.005756719648296e-02
4.439999999999817e+00,1.022094603733946e+01,1.279035517678594e-01,4.872877054014854e+00,-1.005808464639839e-02
4.459999999999824e+00,1.022116208262481e+01,1.284778796314191e-01,4.894823194302499e+00,-1.005860436232662e-02
4.479999999999831e+00,1.022137909009978e+01,1.290521831622273e-01,4.916769284172502e+00,-1.005912634339641e-02
4.499999999999837e+00,1.022159705967295e+01,1.296264622537171e-01,4.938715323403213e+00,-1.005965058873281e-02
4.519999999999844e+00,1.022181599125251e+01,1.302007167993523e-01,4.960661311773037e+00,-1.006017709745720e-02
4.539999999999851e+00,1.022203588474622e+01,1.307749466926280e-01,4.982607249060430e+00,-1.006070586868730e-02
4.559999999999858e+00,1.022225674006150e+01,1.313491518270702e-01,5.004553135043901e+00,-1.006123690153718e-02
4.579999999999864e+00,1.022247855710534e+01,1.319233320962362e-01,5.026498969502015e+00,-1.006177019511724e-02
4.599999999999871e+00,1.022270133578431e+01,1.324974873937148e-01,5.048444752213388e+00,-1.006230574853419e-02
4.619999999999878e+00,1.022292507600464e+01,1.330716176131261e-01,5.070390482956691e+00,-1.006284356089115e-02
4.639999999999884e+00,1.022314977767212e+01,1.336457226481221e-01,5.092336161510648e+00,-1.006338363128751e-02
4.659999999999891e+00,1.022337544069216e+01,1.342198023923864e-01,5.114281787654042e+00,-1.006392595881909e-02
4.679999999999898e+00,1.022360206496978e+01,1.347938567396344e-01,5.136227361165705e+00,-1.006447054257799e-02
4.699999999999904e+00,1.022382965040960e+01,1.353678855836138e-01,5.158172881824526e+00,-1.006501738165274e-02
4.719999999999911e+00,1.022405819691584e+01,1.359418888181043e-01,5.180118349409453e+00,-1.006556647512817e-02
4.739999999999918e+00,1.022428770439232e+01,1.365158663369179e-01,5.202063763699481e+00,-1.006611782208552e-02
4.759999999999924e+00,1.022451817274249e+01,1.370898180338991e-01,5.224009124473668e+00,-1.006667142160235e-02
4.779999999999931e+00,1.022474960186938e+01,1.376637438029248e-01,5.245954431511127e+00,-1.006722727275264e-02
4.799999999999938e+00,1.022498199167564e+01,1.382376435379048e-01,5.267899684591019e+00,-1.006778537460671e-02
4.819999999999944e+00,1.022521534206352e+01,1.388115171327814e-01,5.289844883492572e+00,-1.006834572623131e-02
4.839999999999951e+00,1.022544965293488e+01,1.393853644815302e-01,5.311790027995065e+00,-1.006890832668947e-02
4.859999999999958e+00,1.022568492419117e+01,1.399591854781595e-01,5.333735117877833e+00,-1.006947317504068e-02
4.879999999999964e+00,1.022592115573346e+01,1.405329800167109e-01,5.355680152920272e+00,-1.007004027034081e-02
4.899999999999971e+00,1.022615834746245e+01,1.411067479912596e-01,5.377625132901826e+00,-1.007060961164211e-02
4.919999999999978e+00,1.022639649927839e+01,1.416804892959139e-01,5.399570057602009e+00,-1.007118119799323e-02
4.939999999999984e+00,1.022663561108119e+01,1.422542038248158e-01,5.421514926800381e+00,-1.007175502843920e-02
